real,user
0m5.861s,0m33.360s
5m13.032s,39m35.060s
4m53.639s,32m41.640s
0m58.594s,6m52.880s
0m4.804s,0m13.088s
0m34.129s,2m4.432s
0m4.040s,0m11.132s
0m4.083s,0m9.364s
2m8.974s,8m17.620s
0m4.048s,0m7.928s
1m19.218s,2m27.776s
0m50.241s,4m50.520s
0m4.128s,0m17.820s
0m3.963s,0m15.188s
2m20.842s,17m42.484s
