real,user
0m5.494s,0m33.484s
14m57.070s,113m41.820s
3m11.946s,20m55.328s
0m25.538s,2m58.028s
0m4.917s,0m14.216s
0m21.085s,1m9.720s
0m4.064s,0m10.880s
0m4.030s,0m9.288s
3m38.009s,10m42.872s
0m4.077s,0m7.924s
1m31.491s,2m46.080s
1m52.567s,10m32.296s
0m4.128s,0m18.208s
0m3.929s,0m14.780s
1m38.857s,12m25.084s
