real,user
0m24.366s,0m24.128s
96m19.056s,96m6.352s
21m41.470s,21m38.964s
3m55.778s,3m55.300s
1m40.769s,1m40.576s
22m14.927s,22m12.364s
0m6.906s,0m6.884s
0m5.347s,0m5.336s
44m35.855s,44m30.728s
0m4.588s,0m4.572s
31m7.033s,31m3.460s
6m39.957s,6m39.164s
0m12.642s,0m12.612s
0m9.164s,0m9.140s
8m27.432s,8m26.456s
