real,user
0m29.007s,0m28.932s
58m27.025s,58m19.580s
17m0.646s,16m58.364s
2m27.689s,2m27.140s
0m42.600s,0m42.348s
9m0.563s,8m59.448s
0m12.233s,0m12.208s
0m9.794s,0m9.760s
15m58.006s,15m55.668s
0m8.610s,0m8.584s
3m55.869s,3m55.416s
6m54.591s,6m52.908s
0m19.696s,0m19.492s
0m14.466s,0m14.436s
5m42.359s,5m40.952s
