real,user
0m31.455s,0m31.248s
26m5.668s,26m2.480s
22m53.839s,22m50.796s
4m35.156s,4m34.492s
0m48.812s,0m48.712s
12m5.791s,12m4.160s
0m11.925s,0m11.888s
0m9.863s,0m9.832s
9m15.095s,9m13.960s
0m8.398s,0m8.376s
3m30.583s,3m30.064s
3m36.258s,3m35.044s
0m19.527s,0m19.392s
0m15.119s,0m14.960s
12m15.374s,12m13.924s
