real,user
0m22.613s,0m22.556s
26m30.530s,26m26.864s
22m32.620s,22m29.756s
4m10.712s,4m10.204s
2m1.114s,2m0.852s
32m37.318s,32m33.128s
0m7.019s,0m6.996s
0m5.443s,0m5.424s
23m27.125s,23m24.424s
0m4.628s,0m4.596s
24m11.649s,24m8.844s
3m11.100s,3m10.720s
0m12.831s,0m12.804s
0m9.256s,0m9.220s
10m20.893s,10m19.700s
